report_id,employee_id,designation,manager,resolution_minutes,resolution_sla_pass,resolution_category
AXA-20201231-1261-HSE,218,Operator,Wale,261.07,failed,Critical
AXA-20201231-1263-HSE,206,Operator,Victor,252.35,failed,Critical
AXA-20201230-1264-HSE,206,Operator,Victor,337.12,failed,Critical
AXA-20201231-1265-HSE,202,Operator,Victor,324.35,failed,Critical
AXA-20201230-1266-HSE,214,Operator,Kerry,265.6,failed,Critical
AXA-20201231-1269-HSE,203,Operator,Victor,259.47,failed,Critical
AXA-20201229-1270-HSE,224,Operator,Seun,264.43,failed,Critical
AXA-20201231-1271-HSE,210,Operator,Kerry,208.42,failed,Critical
AXA-20201231-1273-HSE,201,Operator,Victor,314.35,failed,Critical
AXA-20201231-1274-HSE,208,Operator,Kerry,259.42,failed,Critical
AXA-20201231-1276-WLESS,219,Operator,Wale,279.5,failed,Critical
AXA-20201229-1277-WLESS,224,Operator,Seun,196.63,failed,Critical
AXA-20201231-1278-WLESS,228,Operator,Seun,278.8,failed,Critical
AXA-20201231-1279-WLESS,209,Operator,Kerry,187.08,failed,Critical
AXA-20201230-1281-WLESS,207,Operator,Victor,273.03,failed,Critical
AXA-20201230-1290-HSE,208,Operator,Kerry,182.32,failed,Critical
AXA-20201229-1294-WLESS,211,Operator,Kerry,338.32,failed,Critical
AXA-20201231-1296-WLESS,213,Operator,Kerry,187.2,failed,Critical
AXA-20201230-1300-WLESS,209,Operator,Kerry,311.58,failed,Critical
AXA-20201231-1303-WLESS,216,Operator,Wale,276.78,failed,Critical
AXA-20201231-1305-WLESS,216,Operator,Wale,193.47,failed,Critical
AXA-20201229-1309-WLESS,214,Operator,Kerry,325.8,failed,Critical
AXA-20201231-1312-C95,203,Operator,Victor,180.25,failed,Critical
AXA-20201231-1313-C100,221,Operator,Wale,215.23,failed,Critical
AXA-20201231-1315-WLESS,215,Operator,Wale,333.62,failed,Critical
AXA-20201231-1316-WLESS,218,Operator,Wale,188.8,failed,Critical
AXA-20201231-1317-WLESS,210,Operator,Kerry,257.32,failed,Critical
AXA-20201229-1319-CBS,210,Operator,Kerry,285.8,failed,Critical
AXA-20201230-1321-WLESS,214,Operator,Kerry,334.07,failed,Critical
AXA-20201229-1322-WLESS,201,Operator,Victor,252.2,failed,Critical
AXA-20201231-1325-WLESS,215,Operator,Wale,188.45,failed,Critical
AXA-20201231-1326-WLESS,208,Operator,Kerry,245.78,failed,Critical
AXA-20201231-1328-WLESS,203,Operator,Victor,193.3,failed,Critical
AXA-20201230-1330-WLESS,207,Operator,Victor,261.63,failed,Critical
AXA-20201230-1331-WLESS,228,Operator,Seun,196.13,failed,Critical
AXA-20201230-1334-WLESS,201,Operator,Victor,254.12,failed,Critical
AXA-20201231-1335-WLESS,201,Operator,Victor,193.6,failed,Critical
AXA-20201231-1336-WLESS,206,Operator,Victor,244.7,failed,Critical
AXA-20201231-1337-WLESS,212,Operator,Kerry,283.05,failed,Critical
AXA-20201229-1338-WLESS,227,Operator,Seun,309.43,failed,Critical
AXA-20201229-1340-WLESS,227,Operator,Seun,278.43,failed,Critical
AXA-20201230-1342-CBS,204,Operator,Victor,283.03,failed,Critical
AXA-20201230-1344-WLESS,202,Operator,Victor,205.55,failed,Critical
AXA-20201230-1345-WLESS,203,Operator,Victor,337.65,failed,Critical
AXA-20201230-1346-WLESS,203,Operator,Victor,214.42,failed,Critical
AXA-20201230-1347-WLESS,207,Operator,Victor,221.6,failed,Critical
AXA-20201229-1348-WLESS,201,Operator,Victor,256.23,failed,Critical
AXA-20201230-1349-WLESS,205,Operator,Victor,215.27,failed,Critical
AXA-20201229-1350-WLESS,214,Operator,Kerry,345.7,failed,Critical
AXA-20201231-1351-WLESS,204,Operator,Victor,221.4,failed,Critical
AXA-20201231-1352-WLESS,212,Operator,Kerry,248.4,failed,Critical
AXA-20201231-1353-WLESS,213,Operator,Kerry,186.03,failed,Critical
AXA-20201231-1354-WLESS,205,Operator,Victor,265.05,failed,Critical
AXA-20201231-1355-WLESS,201,Operator,Victor,342.8,failed,Critical
AXA-20201231-1357-WLESS,207,Operator,Victor,344.25,failed,Critical
AXA-20201230-1358-WLESS,208,Operator,Kerry,180.6,failed,Critical
AXA-20201231-1361-WLESS,202,Operator,Victor,314.28,failed,Critical
AXA-20201230-1365-WLESS,205,Operator,Victor,187.53,failed,Critical
AXA-20201230-1367-WLESS,207,Operator,Victor,192.77,failed,Critical
AXA-20201230-1368-WLESS,210,Operator,Kerry,251.57,failed,Critical
AXA-20201231-1369-WLESS,209,Operator,Kerry,243.18,failed,Critical
AXA-20201231-1374-WLESS,204,Operator,Victor,276.48,failed,Critical
AXA-20201230-1378-WLESS,206,Operator,Victor,345.3,failed,Critical
AXA-20201230-1379-WLESS,204,Operator,Victor,266.15,failed,Critical
AXA-20201229-1383-CBS,206,Operator,Victor,218.1,failed,Critical
AXA-20201229-1388-CBS,212,Operator,Kerry,266.75,failed,Critical
AXA-20201230-1390-CBS,206,Operator,Victor,343.28,failed,Critical
AXA-20201229-1394-CBS,206,Operator,Victor,277.73,failed,Critical
AXA-20201229-1397-CBS,210,Operator,Kerry,267.62,failed,Critical
AXA-20201229-1400-WLESS,214,Operator,Kerry,275.5,failed,Critical
AXA-20201231-1401-CBS,204,Operator,Victor,198.15,failed,Critical
AXA-20201230-1402-WLESS,206,Operator,Victor,337.25,failed,Critical
AXA-20201230-1403-WLESS,222,Operator,Seun,345.8,failed,Critical
AXA-20201230-1404-WLESS,228,Operator,Seun,250.7,failed,Critical
AXA-20201229-1405-CBS,223,Operator,Seun,270.53,failed,Critical
AXA-20201231-1406-WLESS,210,Operator,Kerry,279.05,failed,Critical
AXA-20201231-1408-WLESS,209,Operator,Kerry,181.67,failed,Critical
AXA-20201231-1409-WLESS,210,Operator,Kerry,247.68,failed,Critical
AXA-20201229-1410-WLESS,212,Operator,Kerry,245.5,failed,Critical
AXA-20201229-1412-CBS,226,Operator,Seun,243.3,failed,Critical
AXA-20201231-1416-HSE,221,Operator,Wale,264.27,failed,Critical
AXA-20201230-1417-HSE,207,Operator,Victor,273.45,failed,Critical
AXA-20201230-1419-CBS,209,Operator,Kerry,317.72,failed,Critical
AXA-20201231-1420-HSE,217,Operator,Wale,275.1,failed,Critical
AXA-20201230-1421-HSE,209,Operator,Kerry,254.1,failed,Critical
AXA-20201229-1423-HSE,224,Operator,Seun,267.73,failed,Critical
AXA-20201230-1425-HSE,205,Operator,Victor,268.45,failed,Critical
AXA-20201230-1427-HSE,211,Operator,Kerry,259.3,failed,Critical
AXA-20201230-1428-HSE,210,Operator,Kerry,215.03,failed,Critical
AXA-20201229-1429-HSE,209,Operator,Kerry,198.6,failed,Critical
AXA-20201231-1430-VOICE,211,Operator,Kerry,246.8,failed,Critical
AXA-20201229-1433-WLESS,201,Operator,Victor,279.68,failed,Critical
AXA-20201229-1434-WLESS,208,Operator,Kerry,222.2,failed,Critical
AXA-20201231-1435-WLESS,209,Operator,Kerry,282.18,failed,Critical
AXA-20201229-1436-WLESS,213,Operator,Kerry,249.25,failed,Critical
AXA-20201230-1441-MCON,224,Operator,Seun,204.63,failed,Critical
AXA-20201231-1444-WLESS,203,Operator,Victor,185.18,failed,Critical
AXA-20201229-1450-WLESS,214,Operator,Kerry,302.08,failed,Critical
AXA-20201229-1454-HSE,209,Operator,Kerry,276.48,failed,Critical
AXA-20201230-1457-HSE,212,Operator,Kerry,307.03,failed,Critical
AXA-20201230-1460-WLESS,222,Operator,Seun,225.58,failed,Critical
AXA-20201230-1462-HSE,211,Operator,Kerry,223.65,failed,Critical
AXA-20201231-1463-HSE,216,Operator,Wale,218.35,failed,Critical
AXA-20201231-1464-HSE,218,Operator,Wale,253.63,failed,Critical
AXA-20201229-1469-WLESS,210,Operator,Kerry,312.53,failed,Critical
AXA-20201231-1471-WLESS,209,Operator,Kerry,284.28,failed,Critical
AXA-20201231-1474-WLESS,217,Operator,Wale,318.5,failed,Critical
AXA-20201229-1477-WLESS,202,Operator,Victor,312.18,failed,Critical
AXA-20201231-1478-WLESS,216,Operator,Wale,198.35,failed,Critical
AXA-20201230-1479-WLESS,206,Operator,Victor,217.48,failed,Critical
AXA-20201229-1480-WLESS,223,Operator,Seun,329.45,failed,Critical
AXA-20201231-1482-HSE,223,Operator,Seun,205.78,failed,Critical
AXA-20201231-1483-HSE,204,Operator,Victor,269.12,failed,Critical
AXA-20201231-1484-HSE,202,Operator,Victor,195.3,failed,Critical
AXA-20201231-1485-HSE,201,Operator,Victor,199.67,failed,Critical
AXA-20201230-1486-HSE,202,Operator,Victor,309.6,failed,Critical
AXA-20201230-1487-HSE,223,Operator,Seun,270.32,failed,Critical
AXA-20201231-1488-WLESS,212,Operator,Kerry,327.53,failed,Critical
AXA-20201231-1489-WLESS,213,Operator,Kerry,302.58,failed,Critical
AXA-20201229-1492-WLESS,223,Operator,Seun,329.43,failed,Critical
AXA-20201231-1495-WLESS,202,Operator,Victor,272.42,failed,Critical
AXA-20201230-1498-HSE,204,Operator,Victor,217.22,failed,Critical
AXA-20201230-1501-VOICE,206,Operator,Victor,343.52,failed,Critical
AXA-20201230-1502-VOICE,205,Operator,Victor,190.25,failed,Critical
AXA-20201229-1505-HSE,222,Operator,Seun,224.55,failed,Critical
AXA-20201231-1509-HSE,209,Operator,Kerry,220.07,failed,Critical
AXA-20201229-1511-HSE,204,Operator,Victor,184.33,failed,Critical
AXA-20201231-1512-HSE,207,Operator,Victor,206.3,failed,Critical
AXA-20201231-1517-HSE,214,Operator,Kerry,306.45,failed,Critical
AXA-20201231-1520-HSE,202,Operator,Victor,343.03,failed,Critical
AXA-20201230-1521-HSE,201,Operator,Victor,243.1,failed,Critical
AXA-20201231-1523-HSE,203,Operator,Victor,324.63,failed,Critical
AXA-20201230-1525-HSE,207,Operator,Victor,320.6,failed,Critical
AXA-20201229-1526-HSE,214,Operator,Kerry,337.77,failed,Critical
AXA-20201231-1529-CBS,201,Operator,Victor,192.17,failed,Critical
AXA-20201230-1531-WLESS,209,Operator,Kerry,208.75,failed,Critical
AXA-20201229-1532-WLESS,223,Operator,Seun,181.1,failed,Critical
AXA-20201231-1533-WLESS,215,Operator,Wale,307.17,failed,Critical
AXA-20201229-1535-CBS,223,Operator,Seun,275.07,failed,Critical
AXA-20201230-1536-VOICE,208,Operator,Kerry,183.12,failed,Critical
AXA-20201231-1538-VOICE,203,Operator,Victor,305.2,failed,Critical
AXA-20201231-1539-VOICE,203,Operator,Victor,321.43,failed,Critical
AXA-20201231-1541-HSE,210,Operator,Kerry,262.72,failed,Critical
AXA-20201231-1542-HSE,220,Operator,Wale,342.2,failed,Critical
AXA-20201230-1544-HSE,207,Operator,Victor,268.42,failed,Critical
AXA-20201230-1545-HSE,207,Operator,Victor,187.52,failed,Critical
AXA-20201230-1547-HSE,203,Operator,Victor,325.63,failed,Critical
AXA-20201230-1548-HSE,201,Operator,Victor,332.07,failed,Critical
AXA-20201230-1549-HSE,202,Operator,Victor,317.13,failed,Critical
AXA-20201230-1551-HSE,206,Operator,Victor,313.32,failed,Critical
AXA-20201229-1554-HSE,222,Operator,Seun,279.68,failed,Critical
AXA-20201229-1558-HSE,209,Operator,Kerry,220.5,failed,Critical
AXA-20201230-1560-VOICE,204,Operator,Victor,205.48,failed,Critical
AXA-20201230-1564-WLESS,227,Operator,Seun,263.68,failed,Critical
AXA-20201229-1565-WLESS,204,Operator,Victor,323.23,failed,Critical
AXA-20201230-1566-WLESS,203,Operator,Victor,187.2,failed,Critical
AXA-20201230-1573-WLESS,201,Operator,Victor,255.63,failed,Critical
AXA-20201229-1576-WLESS,211,Operator,Kerry,263.07,failed,Critical
AXA-20201229-1578-WLESS,228,Operator,Seun,338.03,failed,Critical
AXA-20201229-1581-WLESS,204,Operator,Victor,268.8,failed,Critical
AXA-20201230-1584-WLESS,214,Operator,Kerry,309.3,failed,Critical
AXA-20201230-1585-WLESS,208,Operator,Kerry,187.03,failed,Critical
AXA-20201229-1586-WLESS,222,Operator,Seun,277.15,failed,Critical
AXA-20201230-1588-WLESS,223,Operator,Seun,207.17,failed,Critical
AXA-20201230-1589-WLESS,207,Operator,Victor,261.47,failed,Critical
AXA-20201231-1595-CBS,201,Operator,Victor,262.08,failed,Critical
AXA-20201231-1597-WLESS,212,Operator,Kerry,253.7,failed,Critical
AXA-20201231-1598-WLESS,209,Operator,Kerry,340.65,failed,Critical
AXA-20201230-1605-WLESS,201,Operator,Victor,198.08,failed,Critical
AXA-20201229-1606-WLESS,201,Operator,Victor,301.22,failed,Critical
AXA-20201230-1609-WLESS,204,Operator,Victor,319.18,failed,Critical
AXA-20201229-1611-WLESS,207,Operator,Victor,196.07,failed,Critical
AXA-20201229-1614-WLESS,203,Operator,Victor,212.2,failed,Critical
AXA-20201230-1616-WLESS,206,Operator,Victor,223.62,failed,Critical
AXA-20201229-1617-WLESS,203,Operator,Victor,311.4,failed,Critical
AXA-20201231-1618-WLESS,207,Operator,Victor,272.6,failed,Critical
AXA-20201231-1619-WLESS,210,Operator,Kerry,251.57,failed,Critical
AXA-20201231-1621-HSE,212,Operator,Kerry,285.62,failed,Critical
AXA-20201230-1628-HSE,203,Operator,Victor,205.65,failed,Critical
AXA-20201231-1631-HSE,214,Operator,Kerry,271.72,failed,Critical
AXA-20201231-1632-HSE,221,Operator,Wale,340.37,failed,Critical
AXA-20201229-1634-HSE,216,Operator,Wale,320.35,failed,Critical
AXA-20201229-1636-HSE,209,Operator,Kerry,269.72,failed,Critical
AXA-20201231-1639-HSE,201,Operator,Victor,304.15,failed,Critical
AXA-20201230-1640-HSE,205,Operator,Victor,251.42,failed,Critical
AXA-20201231-1641-HSE,207,Operator,Victor,223.37,failed,Critical
AXA-20201230-1645-HSE,215,Operator,Wale,193.48,failed,Critical
AXA-20201231-1647-HSE,221,Operator,Wale,200.53,failed,Critical
AXA-20201230-1648-HSE,212,Operator,Kerry,242.15,failed,Critical
AXA-20201231-1649-HSE,207,Operator,Victor,194.18,failed,Critical
AXA-20201230-1650-HSE,214,Operator,Kerry,267.17,failed,Critical
AXA-20201230-1651-HSE,212,Operator,Kerry,180.33,failed,Critical
AXA-20201231-1658-HSE,221,Operator,Wale,277.33,failed,Critical
AXA-20201231-1659-HSE,215,Operator,Wale,269.3,failed,Critical
AXA-20201229-1660-HSE,204,Operator,Victor,221.47,failed,Critical
AXA-20201230-1664-HSE,205,Operator,Victor,225.53,failed,Critical
AXA-20201231-1666-HSE,203,Operator,Victor,254.75,failed,Critical
AXA-20201230-1667-HSE,202,Operator,Victor,266.05,failed,Critical
AXA-20201231-1668-HSE,204,Operator,Victor,330.55,failed,Critical
AXA-20201231-1671-HSE,201,Operator,Victor,196.32,failed,Critical
AXA-20201230-1673-HSE,202,Operator,Victor,272.35,failed,Critical
AXA-20201229-1674-HSE,202,Operator,Victor,210.15,failed,Critical
AXA-20201231-1675-WLESS,206,Operator,Victor,225.48,failed,Critical
AXA-20201231-1680-HSE,205,Operator,Victor,213.52,failed,Critical
AXA-20201230-1681-HSE,224,Operator,Seun,222.15,failed,Critical
AXA-20201231-1683-HSE,223,Operator,Seun,241.68,failed,Critical
AXA-20201230-1684-HSE,205,Operator,Victor,279.5,failed,Critical
AXA-20201231-1686-HSE,215,Operator,Wale,181.48,failed,Critical
AXA-20201231-1691-HSE,213,Operator,Kerry,303.3,failed,Critical
AXA-20201231-1695-HSE,202,Operator,Victor,194.12,failed,Critical
AXA-20201231-1696-HSE,212,Operator,Kerry,265.33,failed,Critical
AXA-20201231-1698-WLESS,207,Operator,Victor,211.32,failed,Critical
AXA-20201231-1699-WLESS,203,Operator,Victor,245.32,failed,Critical
AXA-20201230-1702-WLESS,203,Operator,Victor,195.28,failed,Critical
AXA-20201230-1703-WLESS,202,Operator,Victor,266.5,failed,Critical
AXA-20201229-1708-WLESS,207,Operator,Victor,250.35,failed,Critical
AXA-20201231-1710-WLESS,203,Operator,Victor,327.68,failed,Critical
AXA-20201231-1711-WLESS,221,Operator,Wale,187.08,failed,Critical
AXA-20201231-1713-WLESS,214,Operator,Kerry,224.12,failed,Critical
AXA-20201230-1715-WLESS,211,Operator,Kerry,273.38,failed,Critical
AXA-20201231-1718-WLESS,210,Operator,Kerry,303.48,failed,Critical
AXA-20201230-1725-WLESS,210,Operator,Kerry,184.73,failed,Critical
AXA-20201230-1726-WLESS,204,Operator,Victor,192.1,failed,Critical
AXA-20201231-1729-WLESS,218,Operator,Wale,335.65,failed,Critical
AXA-20201230-1732-WLESS,216,Operator,Wale,246.6,failed,Critical
AXA-20201229-1737-WLESS,206,Operator,Victor,315.62,failed,Critical
AXA-20201229-1740-WLESS,206,Operator,Victor,217.68,failed,Critical
AXA-20201229-1745-WLESS,214,Operator,Kerry,250.53,failed,Critical
AXA-20201230-1756-WLESS,214,Operator,Kerry,251.32,failed,Critical
AXA-20201230-1758-WLESS,222,Operator,Seun,208.73,failed,Critical
AXA-20201229-1759-WLESS,228,Operator,Seun,319.2,failed,Critical
AXA-20201231-1765-WLESS,220,Operator,Wale,263.18,failed,Critical
AXA-20201231-1766-WLESS,218,Operator,Wale,216.8,failed,Critical
AXA-20201231-1767-WLESS,221,Operator,Wale,306.63,failed,Critical
AXA-20201231-1769-WLESS,206,Operator,Victor,280.6,failed,Critical
AXA-20201230-1770-WLESS,204,Operator,Victor,271.03,failed,Critical
AXA-20201230-1771-WLESS,211,Operator,Kerry,268.3,failed,Critical
AXA-20201230-1772-WLESS,213,Operator,Kerry,265.68,failed,Critical
AXA-20201231-1778-WLESS,218,Operator,Wale,221.73,failed,Critical
AXA-20201230-1779-WLESS,204,Operator,Victor,252.68,failed,Critical
AXA-20201229-1780-WLESS,204,Operator,Victor,260.37,failed,Critical
AXA-20201230-1783-WLESS,201,Operator,Victor,304.3,failed,Critical
AXA-20201231-1788-WLESS,225,Operator,Seun,251.28,failed,Critical
AXA-20201230-1792-WLESS,223,Operator,Seun,280.73,failed,Critical
AXA-20201229-1793-WLESS,207,Operator,Victor,328.52,failed,Critical
AXA-20201230-1795-WLESS,209,Operator,Kerry,248.68,failed,Critical
AXA-20201229-1796-WLESS,203,Operator,Victor,209.35,failed,Critical
AXA-20201229-1797-HSE,210,Operator,Kerry,320.18,failed,Critical
AXA-20201229-1798-HSE,225,Operator,Seun,204.57,failed,Critical
AXA-20201231-1802-HSE,216,Operator,Wale,326.47,failed,Critical
AXA-20201231-1803-HSE,211,Operator,Kerry,285.18,failed,Critical
AXA-20201231-1804-HSE,221,Operator,Wale,274.5,failed,Critical
AXA-20201230-1807-HSE,207,Operator,Victor,259.5,failed,Critical
AXA-20201229-1808-HSE,227,Operator,Seun,198.23,failed,Critical
AXA-20201230-1809-HSE,226,Operator,Seun,222.15,failed,Critical
AXA-20201230-1810-HSE,204,Operator,Victor,272.65,failed,Critical
AXA-20201229-1812-HSE,227,Operator,Seun,207.55,failed,Critical
AXA-20201231-1821-WLESS,205,Operator,Victor,283.12,failed,Critical
AXA-20201230-1823-HSE,201,Operator,Victor,329.32,failed,Critical
AXA-20201230-1824-HSE,207,Operator,Victor,300.23,failed,Critical
AXA-20201230-1832-WLESS,207,Operator,Victor,180.8,failed,Critical
AXA-20201231-1834-MCON,210,Operator,Kerry,223.2,failed,Critical
AXA-20201231-1835-MCON,208,Operator,Kerry,202.15,failed,Critical
AXA-20201229-1839-WLESS,226,Operator,Seun,218.1,failed,Critical
AXA-20201229-1840-CBS,211,Operator,Kerry,208.33,failed,Critical
AXA-20201231-1842-HSE,210,Operator,Kerry,335.62,failed,Critical
AXA-20201231-1843-HSE,212,Operator,Kerry,327.53,failed,Critical
AXA-20201229-1844-HSE,223,Operator,Seun,336.1,failed,Critical
AXA-20201231-1845-HSE,207,Operator,Victor,308.27,failed,Critical
AXA-20201229-1847-HSE,207,Operator,Victor,194.63,failed,Critical
AXA-20201231-1848-HSE,204,Operator,Victor,335.18,failed,Critical
AXA-20201231-1849-HSE,202,Operator,Victor,336.48,failed,Critical
AXA-20201230-1851-HSE,201,Operator,Victor,184.7,failed,Critical
AXA-20201229-1853-HSE,223,Operator,Seun,213.33,failed,Critical
AXA-20201229-1857-HSE,224,Operator,Seun,262.25,failed,Critical
AXA-20201230-1866-HSE,207,Operator,Victor,271.13,failed,Critical
AXA-20201229-1868-CBS,206,Operator,Victor,313.73,failed,Critical
AXA-20201231-1872-WLESS,217,Operator,Wale,284.43,failed,Critical
AXA-20201229-1874-WLESS,201,Operator,Victor,336.45,failed,Critical
AXA-20201231-1879-MCON,209,Operator,Kerry,245.22,failed,Critical
AXA-20201230-1880-MCON,208,Operator,Kerry,194.78,failed,Critical
AXA-20201231-1883-C95,202,Operator,Victor,317.03,failed,Critical
AXA-20201229-1885-HSE,224,Operator,Seun,281.38,failed,Critical
AXA-20201229-1886-WLESS,208,Operator,Kerry,273.25,failed,Critical
AXA-20201231-1887-WLESS,201,Operator,Victor,260.3,failed,Critical
AXA-20201230-1888-WLESS,222,Operator,Seun,332.6,failed,Critical
AXA-20201229-1890-WLESS,214,Operator,Kerry,331.73,failed,Critical
AXA-20201229-1891-CBS,209,Operator,Kerry,198.18,failed,Critical
AXA-20201229-1898-CBS,222,Operator,Seun,248.47,failed,Critical
AXA-20201231-1899-WLESS,226,Operator,Seun,344.77,failed,Critical
AXA-20201229-1903-WLESS,228,Operator,Seun,263.53,failed,Critical
AXA-20201231-1904-WLESS,211,Operator,Kerry,308.18,failed,Critical
AXA-20201229-1905-WLESS,208,Operator,Kerry,264.48,failed,Critical
AXA-20201230-1907-WLESS,214,Operator,Kerry,264.73,failed,Critical
AXA-20201229-1909-WLESS,227,Operator,Seun,309.25,failed,Critical
AXA-20201231-1910-CBS,203,Operator,Victor,309.07,failed,Critical
AXA-20201229-1911-CBS,201,Operator,Victor,330.37,failed,Critical
AXA-20201230-1912-MAC,211,Operator,Kerry,281.33,failed,Critical
AXA-20201230-1919-HSE,203,Operator,Victor,191.2,failed,Critical
AXA-20201230-1920-HSE,202,Operator,Victor,310.2,failed,Critical
AXA-20201229-1921-HSE,225,Operator,Seun,187.65,failed,Critical
AXA-20201229-1922-HSE,225,Operator,Seun,340.25,failed,Critical
AXA-20201231-1924-HSE,210,Operator,Kerry,249.5,failed,Critical
AXA-20201231-1926-HSE,211,Operator,Kerry,260.63,failed,Critical
AXA-20201230-1928-HSE,213,Operator,Kerry,213.08,failed,Critical
AXA-20201229-1929-HSE,208,Operator,Kerry,319.28,failed,Critical
AXA-20201230-1937-HSE,209,Operator,Kerry,284.58,failed,Critical
AXA-20201231-1940-HSE,221,Operator,Wale,337.58,failed,Critical
AXA-20201231-1943-WLESS,207,Operator,Victor,194.15,failed,Critical
AXA-20201231-1948-WLESS,202,Operator,Victor,245.68,failed,Critical
AXA-20201230-1949-WLESS,206,Operator,Victor,184.33,failed,Critical
AXA-20201229-1950-WLESS,205,Operator,Victor,325.47,failed,Critical
AXA-20201230-1952-WLESS,204,Operator,Victor,192.52,failed,Critical
AXA-20201231-1953-WLESS,206,Operator,Victor,308.78,failed,Critical
AXA-20201229-1954-WLESS,225,Operator,Seun,204.72,failed,Critical
